wp_site_url,wp_tagline,wp_site_title,site_type,openshift_env,category,theme,theme_faculty,status,installs_locked,updates_automatic,langs,unit_name,Jahia_zip,comment
https://migration-wp.epfl.ch/pbl,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,pbl,pbl,pbl
https://migration-wp.epfl.ch/pcf-ptp,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,ptp,pcf-ptp,ptp
https://migration-wp.epfl.ch/pcrycf,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,ptcryp,pcrycf,ptcryp
https://migration-wp.epfl.ch/pcsl,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,pcsl,pcsl,pcsl
https://migration-wp.epfl.ch/pde,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,pde,pde,pde
https://migration-wp.epfl.ch/pecdemo,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,lpi,pecdemo,lpi
https://migration-wp.epfl.ch/pecf,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,ptep,pecf,ptep
https://migration-wp.epfl.ch/pel,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,pel,pel,pel
https://migration-wp.epfl.ch/persat-lab,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,uppersat,persat-lab,uppersat
https://migration-wp.epfl.ch/phd,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,cdoct,phd,cdoct
https://migration-wp.epfl.ch/phosl,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,phosl,phosl,phosl
https://migration-wp.epfl.ch/photonics,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,nam,photonics,nam
https://migration-wp.epfl.ch/piaget-award,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,imt-ge,piaget-award,imt-ge
https://migration-wp.epfl.ch/pixe,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,sgc-ge,pixe,sgc-ge
https://migration-wp.epfl.ch/plte,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,leso-pb,plte,leso-pb
https://migration-wp.epfl.ch/polar,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,aphys,polar,aphys
https://migration-wp.epfl.ch/polychinelle,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,erp-camipro,polychinelle,erp-camipro
https://migration-wp.epfl.ch/polycontrat,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,gec,polycontrat,gec
https://migration-wp.epfl.ch/polydoc,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,lrese,polydoc,lrese
https://migration-wp.epfl.ch/polyjapan,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,polyjapan,polyjapan,polyjapan
https://migration-wp.epfl.ch/polylex,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,gec,polylex,gec
https://migration-wp.epfl.ch/polyphys,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,spc-th,polyphis,spc-th
https://migration-wp.epfl.ch/poseidon,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,exdesk,poseidon,exdesk
https://migration-wp.epfl.ch/bioem,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,ptbioem,bioem,ptbioem
https://migration-wp.epfl.ch/postcarworld,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,sar-d,postcarworld,sar-d
https://migration-wp.epfl.ch/powerlab,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,powerlab,powerlab,powerlab
https://migration-wp.epfl.ch/apprentis,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,rh-f,apprentis,rh-f
https://migration-wp.epfl.ch/prix-etudiants,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,sac,prix-etudiants,sac
https://migration-wp.epfl.ch/professeurs,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,apr,professeurs,apr
https://migration-wp.epfl.ch/risd,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,risd,risd,risd
https://migration-wp.epfl.ch/ptnn,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,ibi-sv-ge,ptnn,ibi-sv-ge
https://migration-wp.epfl.ch/pvlab,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,pv-lab,pvlab,pv-lab
https://migration-wp.epfl.ch/qed,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,stat,qed,stat
https://migration-wp.epfl.ch/q-lab,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,gr-qua,q-lab,gr-qua
https://migration-wp.epfl.ch/qred,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,sti-ge,qred,sti-ge
https://migration-wp.epfl.ch/qtca2018,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,iphys-ge,qtca2018,iphys-ge
https://migration-wp.epfl.ch/quartier-nord,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,resco,quartier-nord,resco
